ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	COGIDS	ALIGNMENT
1433	En	hervirse	tóno-	tóno-	t ó/o n o		312	245	1873	t ó/o n o
1434	Va	hervirse	tono-	tono-	t o n o		312	245	1873	t o n o
1435	Va	hervirse	toni-	toni-	t o n i		312	245	1873	t o n i
1436	TA	hervirse	ronó	ronó	r o n ó/o		312	245	1873	r o n ó/o
1437	TR	hervirse	tono-tu-	tono-tu-	t o n o + t u		312	245	1873 1874	t o n o + t u
1438	Proto	higo	*cuna	*cuna	c u n a		47	320	1885	c u - - n a
1439	P	higo	suhna	suhna	s u h n a		47	320	1885	s u - h n a
1440	O	higo	cuna	cuna	c u n a		47	320	1885	c u - - n a
1441	En	higo	cúna	cúna	c ú/u n a		47	320	1885	c ú/u - - n a
1442	Y	higo	cuúna	cuúna	c u ú/u n a		47	320	1885	c u ú/u - n a
1443	MA	higo	cuúna	cuúna	c u ú/u n a		47	320	1885	c u ú/u - n a
1444	Va	higo	cuná.	cuná.	c u n á/a		47	320	1885	c u - - n á/a
1445	T	higo	cuná.	cuná.	c u n á/a		47	320	1885	c u - - n á/a
1446	Proto	hija del padre	*mara	*mara	m a r a		137	45	1894	m a - - r a
1447	TEP	hija del padre	mára	mára	m á/a r a		137	45	1894	m á/a - - r a
1448	O	hija del padre	mara	mara	m a r a		137	45	1894	m a - - r a
1449	En	hija del padre	már-gwa	már-gwa	m á/a r + gʷ a		137	45	1894 1895	m á/a - - r - + gʷ a
1450	Y	hija del padre	maára	maára	m a á/a r a		137	45	1894	m a - á/a r a
1451	MA	hija del padre	maála	maála	m a á/a l a		137	45	1894	m a - á/a l a
1452	Va	hija del padre	malála	malála	m a l á/a l a		137	45	1894	m a l á/a l a
1453	TA	hija del padre	mará.	mará.	m a r á/a		137	45	1894	m a - - r á/a
1454	Proto	hijo	*'aki	*'aki	ʔ a k i		2	116	1904	- ʔ a k i
1455	O	hijo	aki	aki	a k i		2	116	1904	- - a k i
1456	Vb	hijo	ahkí	ahkí	a h k í/i		2	116	1904	a h - k í/i
1457	TA	hijo	kí	kí	k í/i		2	116	1904	- - - k í/i
1458	Proto	hijo del padre	*no	*no	n o		177	90	1909	- n o
1459	O	hijo del padre	no-	no-	n o		177	90	1909	- n o
1460	En	hijo del padre	no-gwát	no-gwát	n o + gʷ á/a t		177	90	1909 1910	- n o + gʷ á/a t
1461	MA	hijo del padre	nó'oci	nó'oci	n ó/o ʔ o c i		177	90	1911	n ó/o ʔ o c i
1462	Vb	hijo del padre	onó	onó	o n ó/o		177	90	1909	o n ó/o
1463	Va	hijo del padre	no-lá	no-lá	n o + l á/a		177	90	1909 1912	- n o + l á/a
1464	TA	hijo del padre	nó.	nó.	n ó/o		177	90	1909	- n ó/o
1465	Proto	hilar	*hiku	*hiku	h i k u		56	330	1919	h i k - - u
1466	O	hilar	hikku	hikku	h i kk/kː u		56	330	1919	h i kk/kː - - u
1467	O	hilar	ikku	ikku	i kk/kː u		56	330	1919	- i kk/kː - - u
1468	En	hilar	hík-	hík-	h í/i k		56	330	1919	h í/i k - - -
1469	Y	hilar	hikú'u-	hikú'u-	h i k ú/u ʔ u		56	330	1919	h i k ú/u ʔ u
1470	MA	hilar	híku-	híku-	h í/i k u		56	330	1919	h í/i k - - u
1471	Vb	hilar	hí'iku-ra	hí'iku-ra	h í/i ʔ i k u + r a		56	330	1919 1920	h í/i ʔ i k u + - - r a
1472	TA	hilar	kurí	kurí	k u r í/i		56	330	1920	k u r í/i
1473	Proto	hoja	*sawa	*sawa	s a w a		233	155	1929	s a - w a
1474	TEP	hoja	háa-haga	háa-haga	h á/a a + h a g a		233	155	1929 1931	h á/a - - a + h a g a
1475	O	hoja	sagwa-t	sagwa-t	s a gʷ a + t		233	155	1929 1930	s a gʷ - a + t
1476	En	hoja	sáwa	sáwa	s á/a w a		233	155	1929	s á/a - w a
1477	Y	hoja	sáwa	sáwa	s á/a w a		233	155	1929	s á/a - w a
1478	MA	hoja	sáugwa	sáugwa	s áu/au gʷ a		233	155	1929	s áu/au gʷ - a
1479	Vb	hoja	sawá	sawá	s a w á/a		233	155	1929	s a - w á/a
1480	Va	hoja	sawá	sawá	s a w á/a		233	155	1929	s a - w á/a
1481	TA	hoja	sawá	sawá	s a w á/a		233	155	1929	s a - w á/a
1482	TR	hoja	samuá-r	samuá-r	s a m u/w á/a + r		233	155	1929 1932	s a m u/w á/a + r
1483	TR	hoja	samwá-t.	samwá-t.	s a mw/mʷ á/a + t		233	155	1929 1930	s a mw/mʷ - á/a + t
1484	Proto	hombre	*tihoyi	*tihoyi	t i h o y/j i		281	210	1945	t i h o y/j i
1485	TEP	hombre	tíodi	tíodi	t í/j o d i		281	210	1946	t í/j o d i
1486	Vb	hombre	tihoyé	tihoyé	t i h o y/j é/e		281	210	1945	t i h o y/j é/e
1487	Va	hombre	tihoé	tihoé	t i h o é/e		281	210	1945	t i h o - é/e
1488	TA	hombre	rehói.	rehói.	r e h ó/o i		281	210	1945	r e h ó/o - i
1489	Proto	huaraches	*kaka	*kaka	k a k a		70	346	1951	k a - k a
1490	Vb	huaraches	kahká	kahká	k a h k á/a		70	346	1951	k a h k á/a
1491	Va	huaraches	kaká	kaká	k a k á/a		70	346	1951	k a - k á/a
1492	TA	huaraches	aká	aká	a k á/a		70	346	1951	- a - k á/a
1493	TR	huaraches	kaka-yít .	kaka-yít_.	k a k a + y/j í/i t +		70	346	1951 1952	k a - k a + y/j í/i t +
1494	Proto	hueso	*'o	*'o	o		14	48	1959	o
1495	TEP	hueso	'oo'ói-o	'oo'ói-o	ʔ o o ó/o i + o		14	48	1958 1959	ʔ o - o ó/o i + o
1496	O	hueso	owa	owa	o w a		14	48	1961	o w a
1497	En	hueso	hógwa-	hógwa-	h ó/o gʷ a		14	48	1958	h ó/o gʷ - - a
1498	Y	hueso	'ó-ta	'ó-ta	ʔ ó/o + t a		14	48	1958 1960	ʔ ó/o - - - - + t a -
1499	MA	hueso	ó-tta	ó-tta	ó/o + tt/tː a		14	48	1959 1960	ó/o + tt/tː a -
1500	Vb	hueso	hó'o-wa	hó'o-wa	h ó/o ʔ o + w a		14	48	1958 1961	h ó/o ʔ - - o + - w a
1501	Va	hueso	o'-á	o'-á	o ʔ + á/a		14	48	1958 1959	- o ʔ - - - + á/a
1502	TA	hueso	o-cí	o-cí	o + c í/i		14	48	1959 1960	o + c í/i -
1503	TR	hueso	ho-ta-.	ho-ta-.	h o + t a +		14	48	1958 1960	h o - - - - + t a +
1504	Proto	huevo	*kawa	*kawa	k a w a		77	353	1976	- k a - - w a
1505	O	huevo	akkawo-ri	akkawo-ri	a kk/kː a w o + r i		77	353	1976 1977	a kk/kː a - - w o + r i
1506	En	huevo	ákabo-ra	ákabo-ra	á/a k a b o + r a		77	353	1976 1977	á/a k a - - b o + r a
1507	Y	huevo	kába	kába	k á/a b a		77	353	1976	- k á/a - - b a
1508	MA	huevo	kábba	kábba	k á/a bb/bː a		77	353	1976	- k á/a - - bb/bː a
1509	Vb	huevo	ká'awa-rá	ká'awa-rá	k á/a ʔ a w a + r á/a		77	353	1976 1977	- k á/a ʔ a w a + r á/a
1510	Va	huevo	ka'wá	ka'wá	k a ʔ w á/a		77	353	1976	- k a ʔ - w á/a
1511	TA	huevo	ka'wá	ka'wá	k a ʔ w á/a		77	353	1976	- k a ʔ - w á/a
1512	TR	huevo	kowa-ló	kowa-ló	k o w a + l ó/o		77	353	1976 1978	- k o - - w a + l ó/o
1513	Proto	humear	*moro	*moro	m o r o		149	58	1990	m o r - - o
1514	Proto	humear	mor-i	mor-i	m o r + i		149	58	1990 1991	m o r - - - + i
1515	O	humear	moresa	moresa	m o r e s a		149	58	1990	m o r e s a
1516	En	humear	móro-	móro-	m ó/o r o		149	58	1990	m ó/o r - - o
1517	Va	humear	molo-	molo-	m o l o		149	58	1990	m o l - - o
1518	Va	humear	mori-	mori-	m o r i		149	58	1990	m o r - - i
1519	TA	humear	mooró.	mooró.	m oː r ó/o		149	58	1990	m oː r - - ó/o
1520	Proto	humo	*kwici	*kwici	kʷ i c i		121	27	1999	kʷ i c - - - i
1521	TEP	humo	kuu-bísi	kuu-bísi	k u u/u + b í/i s i		121	27	2001 1999	k u u/u + b í/i s - - - i
1522	O	humo	pici-ra	pici-ra	p i c i + r a		121	27	1999 2000	p i c - - - i + r a
1523	Es	humo	bici	bici	b i c i		121	27	1999	b i c - - - i
1524	Y	humo	bwicía	bwicía	bʷ i c í/i a		121	27	1999	bʷ i c í/i - - a
1525	MA	humo	bwicíria	bwicíria	bʷ i c í/i r i/j a		121	27	1999	bʷ i c í/i r i/j a
1526	TR	humo	ku-picí-t.	ku-picí-t.	k u + p i c í/i + t		121	27	2001 1999 2002	k u - + p i c - - - í/i + t
1527	Proto	hígado	*nɨma	*nɨma	n ɨ m a		175	88	2011	n ɨ - m a
1528	TEP	hígado	níma	níma	n í/i m a		175	88	2011	n í/i - m a
1529	O	hígado	hema	hema	h e m a		175	88	2011	h e - m a
1530	En	hígado	hemá-t	hemá-t	h e m á/a + t		175	88	2011 2012	h e - m á/a + t
1531	Es	hígado	ema-t	ema-t	e m a + t		175	88	2011 2012	- e - m a + t
1532	Y	hígado	heéma-	heéma-	h e é/e m a		175	88	2011	h e é/e m a
1533	MA	hígado	heéma-	heéma-	h e é/e m a		175	88	2011	h e é/e m a
1534	Vb	hígado	heemá	heemá	h ee/eː m á/a		175	88	2011	h ee/eː - m á/a
1535	Va	hígado	emá	emá	e m á/a		175	88	2011	- e - m á/a
1536	TA	hígado	emá	emá	e m á/a		175	88	2011	- e - m á/a
1537	TR	hígado	yamá-t.	yamá-t.	y/j a m á/a + t		175	88	2011 2012	y/j a - m á/a + t
1538	Proto	invierno	*tomo	*tomo	t o m o		310	243	2026	t o m o
1539	PI	invierno	tomu-daga	tomu-daga	t o m u + d a g a		310	243	2026 2027	t o m u + d a g a
1540	O	invierno	tomo	tomo	t o m o		310	243	2026	t o m o
1541	En	invierno	tomó	tomó	t o m ó/o		310	243	2026	t o m ó/o
1542	Va	invierno	tomó	tomó	t o m ó/o		310	243	2026	t o m ó/o
1543	TA	invierno	romó.	romó.	r o m ó/o		310	243	2026	r o m ó/o
1544	Proto	ir	*simɨ	*simɨ	s i m ɨ		241	165	2034	s i - m ɨ -
1545	Proto	ir	sim-i	sim-i	s i m + i		241	165	2034 2035	s i - m - - + i
1546	TEP	ir	hímɨi	hímɨi	h í/i m ɨi		241	165	2034	h í/i - m ɨi -
1547	En	ir	-sem	-sem	s e m		241	165	2034	s e - m - -
1548	En	ir	sim-	sim-	s i m		241	165	2034	s i - m - -
1549	Y	ir	siíme	siíme	s i í/i m e		241	165	2034	s i í/i m e -
1550	MA	ir	siíme	siíme	s i í/i m e		241	165	2034	s i í/i m e -
1551	Vb	ir	-simi-	-simi-	s i m i		241	165	2034	s i - m i -
1552	Va	ir	simi-	simi-	s i m i		241	165	2034	s i - m i -
1553	TA	ir	simí	simí	s i m í/i		241	165	2034	s i - m í/i -
1554	TA	ir	simé-	simé-	s i m é/e		241	165	2034	s i - m é/e -
1555	TR	ir	simi-.	simi-.	s i m i +		241	165	2034	s i - m i +
1556	Proto	jilotear	*sita	*sita	s i t a		245	169	2048	s i - - - t a
1557	O	jilotear	sita	sita	s i t a		245	169	2048	s i - - - t a
1558	En	jilotear	sít-	sít-	s í/i t		245	169	2048	s í/i - - - t -
1559	Y	jilotear	sí'ita-rókka	sí'ita-rókka	s í/i ʔ i t a + r ó/o kk/kː a		245	169	2048 2049	s í/i - ʔ i t a + r ó/o kk/kː a
1560	Vb	jilotear	siihtá	siihtá	s i i h t á/a		245	169	2048	s i i h - t á/a
1561	Va	jilotear	sitá	sitá	s i t á/a		245	169	2048	s i - - - t á/a
1562	Proto	larpo	*tɨpɨ	*tɨpɨ	t ɨ p ɨ		294	224	2056	t ɨ - - p ɨ
1563	TEP	larpo	tɨví-	tɨví-	t ɨ v í/i		294	224	2056	t ɨ - - v í/i
1564	En	larpo	tevé-i	tevé-i	t e v é/e + i		294	224	2056 2057	t e - - v é/e + i
1565	Y	larpo	teébe	teébe	t e é/e b e		294	224	2056	t e - é/e b e
1566	MA	larpo	teébe	teébe	t e é/e b e		294	224	2056	t e - é/e b e
1567	Vb	larpo	tépi-hkúma	tépi-hkúma	t é/e p i + h k ú/u m a		294	224	2056 2058	t é/e - - p i + h k ú/u m a
1568	Va	larpo	tehpe-kúma.	tehpe-kúma.	t e h p e + k ú/u m a		294	224	2056 2058	t e h - p e + - k ú/u m a
1569	Proto	lavar	*pako	*pako	p a k o		187	101	2067	p a - k o
1570	P	lavar	wako-	wako-	w a k o		187	101	2067	w a - k o
1571	PI	lavar	bako-	bako-	b a k o		187	101	2067	b a - k o
1572	O	lavar	hi-pako	hi-pako	h i + p a k o		187	101	2070 2067	h i + p a - k o
1573	En	lavar	vakó-ra-	vakó-ra-	v a k ó/o + r a		187	101	2067 2068	v a - k ó/o + r a
1574	Y	lavar	hi-pák-sia	hi-pák-sia	h i + p á/a k + s i/j a		187	101	2070 2067 2069	h i + p á/a - k - + s i/j a
1575	MA	lavar	bák-sia	bák-sia	b á/a k + s i/j a		187	101	2067 2069	b á/a - k - + s i/j a
1576	Vb	lavar	pahko-	pahko-	p a h k o		187	101	2067	p a h k o
1577	Va	lavar	pahko-	pahko-	p a h k o		187	101	2067	p a h k o
1578	TA	lavar	bakó.	bakó.	b a k ó/o		187	101	2067	b a - k ó/o
1579	Proto	lejos	*mɨka	*mɨka	m ɨ k a		146	55	2083	m ɨ - k a
1580	TEP	lejos	míɨka	míɨka	m íɨ/iɨ k a		146	55	2083	m íɨ/iɨ - k a
1581	En	lejos	mekú (meká?)	mekú_(meká?)	m e k ú/u		146	55	2083	m e - k ú/u
1582	Y	lejos	mékka	mékka	m é/e kk/kː a		146	55	2083	m é/e - kk/kː a
1583	MA	lejos	mékka	mékka	m é/e kk/kː a		146	55	2083	m é/e - kk/kː a
1584	Vb	lejos	mehká	mehká	m e h k á/a		146	55	2083	m e h k á/a
1585	Va	lejos	mehká	mehká	m e h k á/a		146	55	2083	m e h k á/a
1586	TA	lejos	meká.	meká.	m e k á/a		146	55	2083	m e - k á/a
1587	Proto	lengua	*nɨni	*nɨni	n ɨ n i		176	89	2092	n ɨ - n i
1588	Proto	lengua	nɨnɨ	nɨnɨ	n ɨ n ɨ		176	89	2092	n ɨ - n ɨ
1589	TEP	lengua	níɨni	níɨni	n íɨ/iɨ n i		176	89	2092	n íɨ/iɨ - n i
1590	TEP	lengua	níɨnɨ	níɨnɨ	n íɨ/iɨ n ɨ		176	89	2092	n íɨ/iɨ - n ɨ
1591	En	lengua	néne-	néne-	n é/e n e		176	89	2092	n é/e - n e
1592	Y	lengua	níni	níni	n í/i n i		176	89	2092	n í/i - n i
1593	MA	lengua	nínni	nínni	n í/i nn/nː i		176	89	2092	n í/i - nn/nː i
1594	Vb	lengua	yeení	yeení	y/j e e n í/i		176	89	2092	y/j e e n í/i
1595	Va	lengua	yení	yení	y/j e n í/i		176	89	2092	y/j e - n í/i
1596	TA	lengua	ini-rá	ini-rá	i n i + r á/a		176	89	2092 2093	- i - n i + r á/a
1597	TR	lengua	niní-r.	niní-r.	n i n í/i + r		176	89	2092 2093	n i - n í/i + r -
1598	Proto	león	*mawiya	*mawiya	m a w i y/j a		143	52	2106	m a w i - - y/j a
1599	TEP	león	mavídia	mavídia	m a v í/i d i/j a		143	52	2106	m a v í/i d - i/j a
1600	En	león	mabí-ro	mabí-ro	m a b í/i + r o		143	52	2106 2107	m a b - - - - í/i + r o
1601	Vb	león	máwi'iyá	máwi'iyá	m á/a w i ʔ i y/j á/a		143	52	2106	m á/a w i ʔ i y/j á/a
1602	Va	león	mawiyá	mawiyá	m a w i y/j á/a		143	52	2106	m a w i - - y/j á/a
1603	TA	león	mawiyá	mawiyá	m a w i y/j á/a		143	52	2106	m a w i - - y/j á/a
1604	TR	león	mawí-t.	mawí-t.	m a w í/i + t		143	52	2106 2108	m a w - - - - í/i + t
1605	Proto	liebre	*parosi	*parosi	p a r o s i		189	103	2116	p a - r o - - s i
1606	O	liebre	paros	paros	p a r o s		189	103	2116	p a - r o - - s -
1607	En	liebre	barós	barós	b a r ó/o s		189	103	2116	b a - r ó/o - - s -
1608	Y	liebre	paáros	paáros	p a á/a r o s		189	103	2116	p a á/a r o - - s -
1609	MA	liebre	paáros	paáros	p a á/a r o s		189	103	2116	p a á/a r o - - s -
1610	Vb	liebre	pálowisí	pálowisí	p á/a l o w i s í/i		189	103	2116	p á/a - l o w i s í/i
1611	Va	liebre	pa'loísi.	pa'loísi.	p a l o í/i s i		189	103	2116	p a - l o - í/i s i
1612	Proto	limpiarse	*piwi	*piwi	p i w i		202	120	2124	p i - w i
1613	O	limpiarse	pigw-	pigw-	p i gʷ		202	120	2124	p i - gʷ -
1614	En	limpiarse	pígwi	pígwi	p í/i gʷ i		202	120	2124	p í/i - gʷ i
1615	Va	limpiarse	pi'í	pi'í	p i ʔ í/i		202	120	2124	p i ʔ - í/i
1616	TA	limpiarse	bi'wí.	bi'wí.	b i ʔ w í/i		202	120	2124	b i ʔ w í/i
1617	Proto	llaga	*'ɨca	*'ɨca	ɨ c a		9	367	2130	- ɨ - c a -
1618	En	llaga	éca-	éca-	é/e c a		9	367	2130	- é/e - c a -
1619	Vb	llaga	hehcá	hehcá	h e h c á/a		9	367	2130	h e h c á/a -
1620	Va	llaga	ehcá	ehcá	e h c á/a		9	367	2130	- e h c á/a -
1621	TA	llaga	cá	cá	c á/a		9	367	2130	- - - c á/a -
1622	TR	llaga	acá-.	acá-.	a c á/a +		9	367	2130	- a - c á/a +
1623	Proto	llano	*yɨ	*yɨ	y/j ɨ		355	295	2139	y/j ɨ - - -
1624	O	llano	deh	deh	d e h		355	295	2137	d e - h
1625	En	llano	dée-t	dée-t	d é/e e + t		355	295	2137 2138	d é/e e - + t
1626	Va	llano	yeepó	yeepó	y/j e e p ó/o		355	295	2139	y/j e e p ó/o
1627	TA	llano	yepó	yepó	y/j e p ó/o		355	295	2139	y/j e - p ó/o
1628	TA	llano	epó.	epó.	e p ó/o		355	295	2139	- e - p ó/o
1629	Proto	llegarse	*hasɨ	*hasɨ	h a s ɨ		53	327	2145	h a - s ɨ - -
1630	Proto	llegarse	has-i	has-i	h a s + i		53	327	2145 2146	- - - h a s - + i
1631	TEP	llegarse	'ai	'ai	ʔ ai		53	327	2145	- - - ʔ ai - -
1632	O	llegarse	has-	has-	h a s		53	327	2145	- - - h a s -
1633	En	llegarse	háse-	háse-	h á/a s e		53	327	2145	h á/a - s e - -
1634	Y	llegarse	háse	háse	h á/a s e		53	327	2145	h á/a - s e - -
1635	MA	llegarse	haáse	haáse	h a á/a s e		53	327	2145	h a á/a s e - -
1636	Vb	llegarse	yahsé-	yahsé-	y/j a h s é/e		53	327	2145	y/j a h s é/e - -
1637	Va	llegarse	asi-	asi-	a s i		53	327	2145	- a - s i - -
1638	TA	llegarse	sí	sí	s í/i		53	327	2145	- - - s í/i - -
1639	TA	llegarse	se-	se-	s e		53	327	2145	- - - s e - -
1640	TR	llegarse	hase-	hase-	h a s e		53	327	2145	h a - s e - -
1641	TR	llegarse	así-.	así-.	a s í/i +		53	327	2145	- a - s í/i - +
1642	Proto	llorar	*kwana	*kwana	kʷ a n a		114	19	2160	kʷ a - n a
1643	PI	llorar	bwanu	bwanu	bʷ a n u		114	19	2160	bʷ a - n u
1644	En	llorar	bána-	bána-	b á/a n a		114	19	2160	b á/a - n a
1645	Y	llorar	bwána	bwána	bʷ á/a n a		114	19	2160	bʷ á/a - n a
1646	MA	llorar	bwaána.	bwaána.	bʷ a á/a n a		114	19	2160	bʷ a á/a n a
1647	Proto	llorar	*nara	*nara	n a r a		167	78	2161	n a - r a
1648	O	llorar	nara	nara	n a r a		167	78	2161	n a - r a
1649	Vb	llorar	náara-	náara-	n á/a a r a		167	78	2161	n á/a a r a
1650	Va	llorar	nalá-	nalá-	n a l á/a		167	78	2161	n a - l á/a
1651	TA	llorar	nará.	nará.	n a r á/a		167	78	2161	n a - r á/a
1652	Proto	llover	*horo	*horo	h o r o		62	337	2171	- h o r o -
1653	O	llover	ahra	ahra	a h r a		62	337	2171	a h - r a -
1654	O	llover	hára-	hára-	h á/a r a		62	337	2171	- h á/a r a -
1655	En	llover	-hóro-	-hóro-	h ó/o r o		62	337	2171	- h ó/o r o -
1656	TR	llover	horo-.	horo-.	h o r o +		62	337	2171	- h o r o +
1657	Proto	llover	*yuku	*yuku	y/j u k u		363	305	2172	y/j u - k u -
1658	Proto	llover	yuk-i	yuk-i	y/j u k + i		363	305	2172 2173	y/j u - k - - + i
1659	TEP	llover	dúuki	dúuki	d ú/u u k i		363	305	2172	d ú/u u k i -
1660	En	llover	dúku-	dúku-	d ú/u k u		363	305	2172	d ú/u - k u -
1661	Y	llover	yúke	yúke	y/j ú/u k e		363	305	2172	y/j ú/u - k e -
1662	MA	llover	yúkke	yúkke	y/j ú/u kk/kː e		363	305	2172	y/j ú/u - kk/kː e -
1663	Vb	llover	yuuki-	yuuki-	y/j u u k i		363	305	2172	y/j u u k i -
1664	Va	llover	yuku-	yuku-	y/j u k u		363	305	2172	y/j u - k u -
1665	Va	llover	yuki-	yuki-	y/j u k i		363	305	2172	y/j u - k i -
1666	TA	llover	yukú	yukú	y/j u k ú/u		363	305	2172	y/j u - k ú/u -
1667	TA	llover	ukú	ukú	u k ú/u		363	305	2172	- u - k ú/u -
1668	TA	llover	uki-.	uki-.	u k i +		363	305	2172	- u - k i +
1669	Proto	lodo	*kwiso	*kwiso	kʷ i s o		124	30	2190	kʷ i s o
1670	Va	lodo	wesá	wesá	w e s á/a		124	30	2190	w e s á/a
1671	TA	lodo	weso-gá	weso-gá	w e s o + g á/a		124	30	2190 2191	w e s o + g á/a
1672	TR	lodo	kwisó-t.	kwisó-t.	kʷ i s ó/o + t		124	30	2190 2192	kʷ i s ó/o + t
1673	Proto	loma	*capa	*capa	c a p a		28	208	2197	c a - p a
1674	En	loma	cápa-	cápa-	c á/a p a		28	208	2197	c á/a - p a
1675	Y	loma	cópoi	cópoi	c ó/o p oi		28	208	2197	c ó/o - p oi
1676	MA	loma	cóppoi	cóppoi	c ó/o pp/pː oi		28	208	2197	c ó/o - pp/pː oi
1677	Va	loma	cahpá	cahpá	c a h p á/a		28	208	2197	c a h p á/a
1678	TA	loma	capá-ci	capá-ci	c a p á/a + c i		28	208	2197 2198	c a - p á/a + c i
1679	Proto	lumbre	*na'li	*na'li	n a l i		171bis	84	2205	n a l i
1680	Vb	lumbre	na'í	na'í	n a ʔ í/i		171bis	84	2205	n a ʔ í/i
1681	Va	lumbre	na'í	na'í	n a ʔ í/i		171bis	84	2205	n a ʔ í/i
1682	TA	lumbre	na'í.	na'í.	n a í/i		171bis	84	2205	n a - í/i
1683	Proto	luna	*mɨca	*mɨca	m ɨ c a		145	54	2210	m ɨ - - c a
1684	TEP	luna	masádai	masádai	m a s á/a d ai		145	54	2210	m a s á/a d ai
1685	O	luna	meca	meca	m e c a		145	54	2210	m e - - c a
1686	En	luna	méca-	méca-	m é/e c a		145	54	2210	m é/e - - c a
1687	Y	luna	meéca	meéca	m e é/e c a		145	54	2210	m e - é/e c a
1688	MA	luna	meéca	meéca	m e é/e c a		145	54	2210	m e - é/e c a
1689	Vb	luna	mehcá	mehcá	m e h c á/a		145	54	2210	m e h - c á/a
1690	Va	luna	mecá	mecá	m e c á/a		145	54	2210	m e - - c á/a
1691	TA	luna	mecá	mecá	m e c á/a		145	54	2210	m e - - c á/a
1692	TR	luna	macá-t.	macá-t.	m a c á/a + t		145	54	2210 2211	m a - - c á/a + t
1693	Proto	macho, varón	*'owi	*'owi	ʔ o w i		24	163	2222	ʔ o - - w i
1694	Y	macho, varón	'o'ówi-	'o'ówi-	o ʔ ó/o w i		24	163	2222	- o ʔ ó/o w i
1695	MA	macho, varón	oówi-	oówi-	o ó/o w i		24	163	2222	- o - ó/o w i
1696	Vb	macho, varón	ho'owí-	ho'owí-	h o ʔ o w í/i		24	163	2222	h o ʔ o w í/i
1697	Va	macho, varón	oí	oí	o í/i		24	163	2222	- o - - - í/i
1698	TA	macho, varón	owí.	owí.	o w í/i		24	163	2222	- o - - w í/i
1699	Proto	madre	*yɨ	*yɨ	y/j ɨ		354	293	2230	- - - y/j ɨ
1700	TEP	madre	dáa-da	dáa-da	d á/a a + d a		354	293	2232 2229	d á/a a + d a
1701	O	madre	de	de	d e		354	293	2229	d e
1702	En	madre	dé	dé	d é/e		354	293	2229	d é/e
1703	Y	madre	áe	áe	á/a e		354	293	2232	- á/a e
1704	MA	madre	áiye	áiye	á/a i y/j e		354	293	2230	á/a i - y/j e
1705	Vb	madre	ye'e-yé	ye'e-yé	y/j e e + y/j é/e		354	293	2231 2230	y/j e e + - - - y/j é/e
1706	Va	madre	ye-yé	ye-yé	y/j e + y/j é/e		354	293	2230 2231	- - - y/j e + y/j é/e -
1707	TA	madre	ye-yé	ye-yé	y/j e + y/j é/e		354	293	2230 2231	- - - y/j e + y/j é/e -
1708	TA	madre	e-yé	e-yé	e + y/j é/e		354	293	2232 2230	- e - + - - - y/j é/e
1709	TR	madre	inyá-r.	inyá-r.	i n y/j á/a + r		354	293	2230 2233	- i n y/j á/a + r
1710	Proto	madurarse, cocerse	*kwasɨ	*kwasɨ	kʷ a s ɨ		117	22	2247	kʷ a - s ɨ
1711	Proto	madurarse, cocerse	kwas-i	kwas-i	kʷ a s + i		117	22	2247 2248	kʷ a - s - + i
1712	P	madurarse, cocerse	bahi	bahi	b a h i		117	22	2247	b a - h i
1713	PI	madurarse, cocerse	bahi	bahi	b a h i		117	22	2247	b a - h i
1714	O	madurarse, cocerse	i-gwass-a	i-gwass-a	i + gʷ a ss/sː + a		117	22	2248 2247 2249	i + gʷ a - ss/sː - + a
1715	En	madurarse, cocerse	báse-	báse-	b á/a s e		117	22	2247	b á/a - s e
1716	Es	madurarse, cocerse	bwase-	bwase-	bʷ a s e		117	22	2247	bʷ a - s e
1717	Y	madurarse, cocerse	bwási-a	bwási-a	bʷ á/a s i + a		117	22	2247 2248	bʷ á/a - s i + a
1718	MA	madurarse, cocerse	bwásse	bwásse	bʷ á/a ss/sː e		117	22	2247	bʷ á/a - ss/sː e
1719	Vb	madurarse, cocerse	wási-	wási-	w á/a s i		117	22	2247	w á/a - s i
1720	Va	madurarse, cocerse	wahsé-	wahsé-	w a h s é/e		117	22	2247	w a h s é/e
1721	Va	madurarse, cocerse	wasi-	wasi-	w a s i		117	22	2247	w a - s i
1722	TA	madurarse, cocerse	wasí	wasí	w a s í/i		117	22	2247	w a - s í/i
1723	TR	madurarse, cocerse	kWase-te	kWase-te	kW/kʷ a s e + t e		117	22	2247 2250	kW/kʷ a - s e + t e
1724	TR	madurarse, cocerse	kwasi-te.	kwasi-te.	kʷ a s i + t e		117	22	2247 2250	kʷ a - s i + t e
1725	Proto	mamar	*ci	*ci	c i		30	231	2269	c i - - - -
1726	TEP	mamar	sí'i-	sí'i-	s í/i ʔ i		30	231	2269	s í/i ʔ - - i
1727	O	mamar	ci	ci	c i		30	231	2269	c i - - - -
1728	En	mamar	cía-	cía-	c í/i a		30	231	2269	c í/i - - - a
1729	Y	mamar	cé'e	cé'e	c é/e ʔ e		30	231	2269	c é/e ʔ - - e
1730	MA	mamar	cé'eye	cé'eye	c é/e ʔ e y/j e		30	231	2269	c é/e ʔ e y/j e
1731	Va	mamar	ci'i-	ci'i-	c i ʔ i		30	231	2269	c i ʔ - - i
1732	TA	mamar	ci'í.	ci'í.	c i í/i		30	231	2269	c i - - - í/i
1733	Proto	mano	*ma	*ma	m a		128	34	2278	m a - -
